,FIPs,County,State,Zip_Code,Station
191,6013,Contra Costa County,CA,94509,KOAK
192,6015,Del Norte County,CA,95538,KCEC
193,6017,El Dorado County,CA,95666,KSCK
194,6019,Fresno County,CA,93625,KFAT
195,6021,Glenn County,CA,95951,KOVE
196,6023,Humboldt County,CA,95540,KFOT
197,6025,Imperial County,CA,92243,KIPL
198,6027,Inyo County,CA,93549,KNID
199,6029,Kern County,CA,93304,KBFL
200,6031,Kings County,CA,93239,KVIS
201,6033,Lake County,CA,95457,KUKI
202,6035,Lassen County,CA,96114,KRNO
203,6037,Los Angeles County,CA,90013,KHHR
204,6039,Madera County,CA,93639,KFAT
205,6041,Marin County,CA,94979,KOAK
206,6043,Mariposa County,CA,95369,KMER
207,6045,Mendocino County,CA,95490,KSTS
208,6047,Merced County,CA,95340,KMCE
209,6049,Modoc County,CA,96134,KMFR
210,6051,Mono County,CA,93546,KMMH
211,6053,Monterey County,CA,93426,KSBP
212,6055,Napa County,CA,94574,KSTS
213,6057,Nevada County,CA,96162,KRNO
214,6059,Orange County,CA,90638,KFUL
215,6061,Placer County,CA,95631,KSMF
216,6063,Plumas County,CA,95983,KRNO
217,6065,Riverside County,CA,92373,KSBD
218,6067,Sacramento County,CA,95630,KMHR
219,6069,San Benito County,CA,95004,KWVI
220,6071,San Bernardino County,CA,92344,KSBD
221,6073,San Diego County,CA,91901,MMTJ
222,6075,San Francisco County,CA,94109,KOAK
223,6077,San Joaquin County,CA,95202,KSCK
224,6079,San Luis Obispo County,CA,93420,KSBP
225,6081,San Mateo County,CA,94404,KSFO
226,6083,Santa Barbara County,CA,93105,KSBA
227,6085,Santa Clara County,CA,94550,KLVK
228,6087,Santa Cruz County,CA,95033,KSJC
229,6089,Shasta County,CA,96001,KRDD
230,6091,Sierra County,CA,96118,KRNO
231,6093,Siskiyou County,CA,96134,KMFR
232,6095,Solano County,CA,94590,KAPC
233,6097,Sonoma County,CA,95448,KSTS
234,6099,Stanislaus County,CA,94550,KLVK
235,6101,Sutter County,CA,95645,KSMF
236,6103,Tehama County,CA,96022,KRDD
237,6105,Trinity County,CA,95595,KRDD
238,6107,Tulare County,CA,93247,KPTV
239,6109,Tuolumne County,CA,95311,KSCK
240,6111,Ventura County,CA,91304,KBUR
